variant,normal_score,flipped_score,antisym_score,symmetric_order_score,backbone,pair_index,dataset_index
attention_without_norm,2.0749399662017822,1.0677275657653809,0.5036062002182007,1.5713337659835815,Ouro 2.6B Thinking,37,
mean_with_norm,1.6453700065612793,0.9986759424209595,0.3233470320701599,1.3220229744911194,Ouro 2.6B Thinking,37,
mean_without_norm,1.917459487915039,1.2803456783294678,0.31855690479278564,1.5989025831222534,Ouro 2.6B Thinking,37,
attention_with_norm,0.37993812561035156,2.288551092147827,-0.9543064832687378,1.3342446088790894,Ouro 2.6B Thinking,38,
attention_without_norm,1.3773590326309204,2.433161735534668,-0.5279013514518738,1.9052603840827942,Ouro 2.6B Thinking,38,
mean_with_norm,0.7469952702522278,1.829666018486023,-0.5413353741168976,1.2883306443691254,Ouro 2.6B Thinking,38,
mean_without_norm,1.4704521894454956,2.1305017471313477,-0.330024778842926,1.8004769682884216,Ouro 2.6B Thinking,38,
attention_with_norm,0.9807869791984558,1.0579688549041748,-0.0385909378528595,1.0193779170513153,Ouro 2.6B Thinking,39,
attention_without_norm,1.3854979276657104,1.5700037479400635,-0.09225291013717651,1.477750837802887,Ouro 2.6B Thinking,39,
mean_with_norm,0.7505797147750854,1.0297319889068604,-0.13957613706588745,0.8901558518409729,Ouro 2.6B Thinking,39,
mean_without_norm,1.0838204622268677,1.4664995670318604,-0.19133955240249634,1.275160014629364,Ouro 2.6B Thinking,39,
attention_with_norm,3.5141377449035645,-0.889323890209198,2.2017308175563812,1.3124069273471832,Ouro 2.6B Thinking,40,
attention_without_norm,3.599675416946411,-0.31906449794769287,1.959369957447052,1.6403054594993591,Ouro 2.6B Thinking,40,
mean_with_norm,2.245246410369873,0.46455663442611694,0.890344887971878,1.354901522397995,Ouro 2.6B Thinking,40,
mean_without_norm,2.494433641433716,0.7857030034065247,0.8543653190135956,1.6400683224201202,Ouro 2.6B Thinking,40,
attention_with_norm,0.13203094899654388,2.166081666946411,-1.0170253589749336,1.1490563079714775,Ouro 2.6B Thinking,41,
attention_without_norm,0.6557308435440063,2.544715642929077,-0.9444923996925354,1.6002232432365417,Ouro 2.6B Thinking,41,
mean_with_norm,0.5645638108253479,1.1848641633987427,-0.3101501762866974,0.8747139871120453,Ouro 2.6B Thinking,41,
mean_without_norm,0.7586937546730042,1.480729341506958,-0.36101779341697693,1.119711548089981,Ouro 2.6B Thinking,41,
attention_with_norm,0.00473568681627512,2.272620439529419,-1.133942376356572,1.138678063172847,Ouro 2.6B Thinking,42,
attention_without_norm,0.7484304308891296,2.3825643062591553,-0.8170669376850128,1.5654973685741425,Ouro 2.6B Thinking,42,
